Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
Italy;Palermo;PMO;4 906 050;;;;;;;;;;;;;;
Italy;Parma;PMF;185 179;;;;;;;;;;;;;;
Italy;Perugia;PEG;270 068;;;;;;;;;;;;;;
Italy;Pescara;PSR;610 558;;;;;;;;;;;;;;
Italy;Pisa;PSA;4 797 116;;;;;;;;;;;;;;
Italy;Reggio Calabria;REG;490 804;;;;;;;;;;;;;;
Italy;Rome Ciampino;CIA;5 802 877;;;;;;;;;;;;;;
Italy;Rome Fiumicino;FCO;40 422 156;;;;;;;;;;;;;;
Italy;Trapani;TPS;1 586 000;;;;;;;;;;;;;;
Italy;Treviso;TSF;2 378 876;;;;;;;;;;;;;;
Italy;Trieste;TRS;739 149;;;;;;;;;;;;;;
Italy;Turin;TRN;3 659 312;;;;;;;;;;;;;;
Italy;Venice Marco Polo;VCE;8 735 876;;;;;;;;;;;;;;
Italy;Verona;VRN;2 584 946;;;;;;;;;;;;;;
Kosovo;Pristina;PRN;1 579 406;;;;;;;;;;;;;;
Latvia;Riga;RIX;5 164 424;;;;;;;;;;;;;;
Lithuania;Kaunas;KUN;747 284;;;;;;;;;;;;;;
Lithuania;Palanga;PLQ;145 441;;;;;;;;;;;;;;
Lithuania;Vilnius;VNO;3 334 891;;;;;;;;;;;;;;
Luxembourg;Luxembourg;LUX;2 676 424;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Macedonia;Skopje;SKP;1 456 385;;;;;;;;;;;;;;
Malta;Malta;MLA;4 618 025;;;;;;;;;;;;;;
Moldova;Chisinau;KIV;2 219 162;;;;;;;;;;;;;;
Montenegro;Podgorica;TGD;748 892;;;;;;;;;;;;;;
Montenegro;Tivat;TIV;889 006;;;;;;;;;;;;;;
Netherlands;Major airports;;64 309 462;;;;;;;;;;;;;;
Netherlands;Amsterdam;AMS;58 284 848;;;;;;;;;;;;;;
Netherlands;Eindhoven;EIN;4 331 658;;;;;;;;;;;;;;
Netherlands;Groningen;GRQ;220 710;;;;;;;;;;;;;;
Netherlands;Maastricht Aachen;MST;195 180;;;;;;;;;;;;;;
Netherlands;Rotterdam;RTM;1 692 406;;;;;;;;;;;;;;
Norway;All airports;;53 976 552;;;;;;;;;;;;;;
Norway;Alesund;AES;1 080 090;;;;;;;;;;;;;;
Norway;Alta;ALF;393 120;;;;;;;;;;;;;;
Norway;Bardufoss;BDU;225 025;;;;;;;;;;;;;;
Norway;Bergen;BGO;6 018 174;;;;;;;;;;;;;;
Norway;Bodo;BOO;1 731 162;;;;;;;;;;;;;;
