Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;;;
USA;Grand Rapids/Gerald R. Ford;GRR;2550193;;;;;;;;;;;;;;;;
USA;Greenville-Spartanburg;GSP;1940037;;;;;;;;;;;;;;;;
USA;Hartford-Springfield/Bradley;BDL;5933897;;;;;;;;;;;;;;;;
USA;Houston Intercontinental;IAH;42975102;;;;;;;;;;;;;;;;
USA;Houston Hobby;HOU;12146313;;;;;;;;;;;;;;;;
USA;Indianapolis;IND;7923725;;;;;;;;;;;;;;;;
USA;Jackson-Evers;JAN;995161;;;;;;;;;;;;;;;;
USA;Jacksonville;JAX;5501669;;;;;;;;;;;;;;;;
USA;Kansas City 5;KCI;10467605;;;;;;;;;;;;;;;;
USA;Knoxville/McGhee Tyson;TYS;1765735;;;;;;;;;;;;;;;;
USA;Las Vegas;LAS;45389074;;;;;;;;;;;;;;;;
USA;Little Rock;LIT;1987155;;;;;;;;;;;;;;;;
USA;Long Beach;LGB;2523577;;;;;;;;;;;;;;;;
USA;Los Angeles;LAX;74681560;;;;;;;;;;;;;;;;
USA;Los Angeles/Ontario;ONT;4209311;;;;;;;;;;;;;;;;
USA;Louisville;SDF;3359472;;;;;;;;;;;;;;;;
USA;Manchester;MHT;2073071;;;;;;;;;;;;;;;;
USA;Memphis;MEM;3757060;;;;;;;;;;;;;;;;
USA;Miami;MIA;44350250;;;;;;;;;;;;;;;;
USA;Milwaukee/General Mitchell Int.;MKE;6549353;;;;;;;;;;;;;;;;
USA;Minneapolis/St Paul 1;MSP;36418385;;;;;;;;;;;;;;;;
USA;Myrtle Beach;MYR;1830065;;;;;;;;;;;;;;;;
USA;Nashville;BNA;11332381;;;;;;;;;;;;;;;;
USA;New Orleans/Louis Armstrong;MSY;10671875;;;;;;;;;;;;;;;;
USA;New York JFK 1;JFK;56186667;;;;;;;;;;;;;;;;
USA;New York LaGuardia 1;LGA;28165919;;;;;;;;;;;;;;;;
USA;Newark 1;EWR;36971723;;;;;;;;;;;;;;;;
USA;Norfolk;ORF;3054407;;;;;;;;;;;;;;;;
USA;Oakland;OAK;11205063;;;;;;;;;;;;;;;;
USA;Oklahoma City/Will Rogers;OKC;3720455;;;;;;;;;;;;;;;;
USA;Omaha/Eppley;OMA;4169467;;;;;;;;;;;;;;;;
USA;Orlando;MCO;38727777;;;;;;;;;;;;;;;;
USA;Orlando Sanford;SFB;2480122;;;;;;;;;;;;;;;;
USA;Palm Beach;PBI;6265530;;;;;;;;;;;;;;;;
USA;Palm Springs;PSP;1888657;;;;;;;;;;;;;;;;
USA;Pensacola;PNS;1613310;;;;;;;;;;;;;;;;
USA;Philadelphia;PHL;31443004;;;;;;;;;;;;;;;;
USA;Phoenix;PHX;44068514;;;;;;;;;;;;;;;;
USA;Phoenix Mesa Gateway;AZA;1282116;;;;;;;;;;;;;;;;
USA;Pittsburgh;PIT;8128187;;;;;;;;;;;;;;;;
USA;Portland;PDX;16850750;;;;;;;;;;;;;;;;
USA;Providence/Theodore Francis Green;PVD;3566105;;;;;;;;;;;;;;;;
USA;Raleigh-Durham;RDU;9943260;;;;;;;;;;;;;;;;
USA;Reno-Tahoe;RNO;3415071;;;;;;;;;;;;;;;;
USA;Richmond;RIC;3513142;;;;;;;;;;;;;;;;
USA;Sacramento;SMF;9648063;;;;;;;;;;;;;;;;
USA;Salt Lake City;SLC;22152498;;;;;;;;;;;;;;;;
USA;San Antonio;SAT;8498247;;;;;;;;;;;;;;;;
USA;San Diego;SAN;20011626;;;;;;;;;;;;;;;;
USA;San Francisco;SFO;50067094;;;;;;;;;;;;;;;;
USA;San Jose;SJC;9799427;;;;;;;;;;;;;;;;
USA;Santa Ana/John Wayne 7;SNA;10180258;;;;;;;;;;;;;;;;
USA;Sarasota;SRQ;1220363;;;;;;;;;;;;;;;;
USA;Savannah/Hilton Head;SAV;2027292;;;;;;;;;;;;;;;;
USA;Seattle-Tacoma;SEA;42340537;;;;;;;;;;;;;;;;
USA;Spokane;GEG;3133118;;;;;;;;;;;;;;;;
USA;Springfield-Branson;SGF;919248;;;;;;;;;;;;;;;;
USA;St. Louis/Lambert;STL;12719038;;;;;;;;;;;;;;;;
USA;Stewart;SWF;281754;;;;;;;;;;;;;;;;
USA;Tampa;TPA;18815425;;;;;;;;;;;;;;;;
USA;Tucson;TUS;3178210;;;;;;;;;;;;;;;;
USA;Tulsa;TUL;2816967;;;;;;;;;;;;;;;;
USA;Washington Dulles 4;IAD;21606882;;;;;;;;;;;;;;;;
USA;Washington Reagan 4;DCA;22443556;;;;;;;;;;;;;;;;
USA;Wichita;ICT;1571834;;;;;;;;;;;;;;;;
